Project ID,Graded ID,Greets by name,Repeats until guessed,Gives feedback,Min and max,Counts guesses,Reports guesses
03034c52-2f8f-4ed6-b3eb-6aa45663c17c,241928,2,2,2,2,2,2
04fb24ac-27b8-40f4-bc98-2a2a80cc741a,225579,2,2,2,2,2,2
0bcfe2c5-c49c-4182-9d1e-ba6f8327d6fc,253910,2,2,2,2,2,2
0c07c76c-a63b-40ae-89df-6c657726838f,225055,2,2,2,2,2,2
0d8728ce-3b1c-4822-8fa5-4615b03b9583,209454,2,1,2,2,2,2
0ef06541-c5a7-4ef0-bd50-0fc954687bb2,245998,2,2,2,2,2,2
19cc807e-b78b-45ca-844e-b4ed536452b7,211503,2,2,2,2,2,2
25376dcf-a293-4d26-a27b-69227823f4a4,239856,2,2,2,2,2,2
276dab94-bc56-4e4c-adea-f5a88a417e13,225541,2,2,2,2,1,2
29b66ecc-1190-4e92-b8df-02617753cbce,253462,2,2,2,1,2,2
2a441e32-5a99-4f7b-ab06-1ee8b9e202e4,259670,2,2,2,2,2,2
2c36a679-2cdc-47a4-8b21-e8efc5e5dce7,249733,0,2,2,0,0,0
2dee797a-5367-4acb-b459-e79dae895bd6,252159,2,2,2,2,2,2
3ae58700-4575-4bbe-af81-579f02460c8e,200089,2,2,2,2,2,2
413bd0ba-2155-4c3d-9691-44d9ce824e41,260918,1,2,2,0,0,0
423d2f55-ff4c-445f-8d78-729abadd0abd,225893,2,2,2,2,2,2
43202e42-74d7-4ed8-bbc1-0b2a40669aeb,259206,2,2,2,2,1,0
52f1a91e-7d8b-44ed-a8d1-e28d2d77ba0d,239385,2,2,2,2,2,2
6655648d-edfd-4445-9a71-19078115edf3,250737,2,2,2,2,1,2
66d1bd35-1013-45f7-a25c-101c31d36930,-1,2,2,2,2,1,2
6af85a7a-e708-449e-82b6-4d6d08bf5664,255380,2,2,2,2,2,2
6d6091a6-5906-429b-9e8a-a064748757b5,254228,2,2,2,2,2,2
73e576b2-c95c-4cc0-8c3a-a71d80d7fb02,254328,2,2,2,1,0,0
847e6dcc-8e8b-4894-9b14-bf46d0618e75,244837,2,2,2,2,2,2
8d0f6edc-cdec-4629-9ffd-55d7e6a9c2fe,200779,2,2,2,2,1,2
94e0ca71-2969-4618-ac31-756a69ba1916,225928,2,2,2,2,2,2
94ee8d08-11f6-486e-8c88-bd93ba336277,243540,2,2,2,2,2,2
98d0d070-1f42-4cc7-98d1-620e295f5998,210584,2,2,2,1,2,2
9b1e7d7a-a94d-408c-b9c4-5821bff3ec99,258465,2,2,2,2,1,2
a2cb790d-d017-450d-aea1-fbb3e29bf449,198824,2,2,2,2,2,2
a2e5b298-e04d-412a-8625-904ca24a51d8,249128,2,2,2,2,1,2
a49b944a-4d26-46fa-92b7-63413f70f96f,261809,2,2,2,2,2,2
a609b561-cf26-47b8-bd77-f3b114e0f86c,210983,2,2,2,2,2,2
a6aad624-de62-4886-bf92-be6dbc7d9a4e,261451,2,2,2,2,2,2
a842110f-c1fd-4028-a991-657a6f3c416f,250132,0,2,2,2,1,1
ab587039-a81b-4412-bdec-9bc0bce5df0f,200349,2,2,2,2,2,2
ac48da8c-1a1a-4d9f-842f-8af67df635bc,225780,2,2,2,2,1,2
b1780cf7-a738-4872-9acf-ad2ec63d80b7,248364,2,2,2,2,1,2
b3a92bca-d9bc-4553-9498-9cb9feb2ef09,209185,2,2,2,2,2,2
b9806d79-48f4-4b2a-8ef6-82aa7628c0dd,260151,2,2,2,2,2,2
bba76353-ad96-489e-9e62-c264fedd03cd,210966,2,2,2,2,2,2
bd1bda42-9ef3-4933-8fae-4b1860dd0d77,260012,2,2,2,2,2,2
bf8bfe86-99ab-4241-954c-5919964c4814,238561,2,2,2,2,1,2
c0abbe0d-5694-4a98-9b97-d417a3e7fcea,226673,2,2,2,2,2,2
c0e3080d-98c0-42dc-8939-5b2aab6c7e73,199262,2,2,2,2,2,2
c770abb0-c973-4079-be84-88ee6802fd4f,250635,2,2,2,2,2,2
ce060315-0697-461f-bbac-9459417eccd3,242705,2,2,2,2,2,2
d166e87f-a82a-4e0c-b5fe-0d4c0483efc6,210062,2,2,2,2,2,2
d1a3f3ad-c3f0-4c34-99fc-3abb11725ba7,207082,2,2,2,2,2,2
d22169c7-f2ae-4289-ba9f-898c1f4e334d,247638,2,2,1,2,2,2
d3d836e7-e967-4ea7-924c-d3a0ac4c3644,247282,2,2,2,2,2,1
d64f4478-6b4d-42fa-b36b-2864b3fd49f5,249569,2,2,2,2,2,2
de76e7a2-3d9a-4e79-92dd-78f8850bb10c,209599,2,2,2,2,2,2
e5d77a83-57cd-4331-92ca-d744abcbecfe,199851,2,2,2,1,2,1
e762c0af-263f-4586-b8a6-eb6853ca6245,199101,2,2,2,2,2,2
ef0a6c48-e406-4dfd-a784-0e4377c8203f,245782,2,2,2,2,2,2
f91737eb-3c2b-453b-a950-be4517130c9c,200328,2,2,2,2,2,2
fe8e6eac-5c8b-491b-84c0-e9b165d64510,251392,2,2,2,2,2,2
nolog-58E56CBB-76B5-4AB6-8275-22B5A597E4FC,-1,0,2,1,1,1,2
,,,,,,,
Conflicts: ,17,,,,,,
Remaining:,0,,,,,,